experiment_id,pipeline_name,node_name,model_variant,cpu_request,memory_request,max_batch_size,max_batch_time,load,load_duration,series,series_meta,replicas,no_engine,mode,data_type,benchmark_duration
1,audio-qa,audio,facebook-s2t-small-librispeech-asr,1,10Gi,1,1,1,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
2,audio-qa,audio,facebook-s2t-small-librispeech-asr,1,10Gi,1,1,10,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
3,audio-qa,audio,facebook-s2t-small-librispeech-asr,1,10Gi,1,1,20,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
4,audio-qa,audio,facebook-s2t-small-librispeech-asr,2,10Gi,1,1,1,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
5,audio-qa,audio,facebook-s2t-small-librispeech-asr,2,10Gi,1,1,10,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
6,audio-qa,audio,facebook-s2t-small-librispeech-asr,2,10Gi,1,1,20,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
7,audio-qa,audio,facebook-s2t-small-librispeech-asr,4,10Gi,1,1,1,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
8,audio-qa,audio,facebook-s2t-small-librispeech-asr,4,10Gi,1,1,10,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
9,audio-qa,audio,facebook-s2t-small-librispeech-asr,4,10Gi,1,1,20,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
10,audio-qa,audio,facebook-s2t-small-librispeech-asr,8,10Gi,1,1,1,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
11,audio-qa,audio,facebook-s2t-small-librispeech-asr,8,10Gi,1,1,10,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
12,audio-qa,audio,facebook-s2t-small-librispeech-asr,8,10Gi,1,1,20,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
13,audio-qa,audio,facebook-s2t-small-librispeech-asr,1,10Gi,2,1,1,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
14,audio-qa,audio,facebook-s2t-small-librispeech-asr,1,10Gi,2,1,10,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
15,audio-qa,audio,facebook-s2t-small-librispeech-asr,1,10Gi,2,1,20,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
16,audio-qa,audio,facebook-s2t-small-librispeech-asr,2,10Gi,2,1,1,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
17,audio-qa,audio,facebook-s2t-small-librispeech-asr,2,10Gi,2,1,10,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
18,audio-qa,audio,facebook-s2t-small-librispeech-asr,2,10Gi,2,1,20,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
19,audio-qa,audio,facebook-s2t-small-librispeech-asr,4,10Gi,2,1,1,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
20,audio-qa,audio,facebook-s2t-small-librispeech-asr,4,10Gi,2,1,10,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
21,audio-qa,audio,facebook-s2t-small-librispeech-asr,4,10Gi,2,1,20,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
22,audio-qa,audio,facebook-s2t-small-librispeech-asr,8,10Gi,2,1,1,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
23,audio-qa,audio,facebook-s2t-small-librispeech-asr,8,10Gi,2,1,10,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
24,audio-qa,audio,facebook-s2t-small-librispeech-asr,8,10Gi,2,1,20,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
25,audio-qa,audio,facebook-s2t-small-librispeech-asr,1,10Gi,8,1,1,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
26,audio-qa,audio,facebook-s2t-small-librispeech-asr,1,10Gi,8,1,10,60,85,Final profile on: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1,False,step,audio,1
