experiment_id,pipeline_name,node_name,model_variant,cpu_request,gpu_request,memory_request,max_batch_size,max_batch_time,load,load_duration,series,series_meta,replicas,no_engine,mode,data_type,benchmark_duration
38,video,yolo,yolov5l,5,8,4Gi,32,1,10,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,2,False,exponential,image,1
39,video,yolo,yolov5l,5,8,4Gi,32,1,30,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,2,False,exponential,image,1
40,video,yolo,yolov5l,5,8,4Gi,32,1,40,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,2,False,exponential,image,1
41,video,yolo,yolov5l,5,8,4Gi,32,1,80,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,2,False,exponential,image,1
42,video,yolo,yolov5l,5,8,4Gi,32,1,160,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,2,False,exponential,image,1
43,video,yolo,yolov5l,5,8,4Gi,64,1,1,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,2,False,exponential,image,1
44,video,yolo,yolov5l,5,8,4Gi,64,1,5,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,2,False,exponential,image,1
45,video,yolo,yolov5l,5,8,4Gi,64,1,10,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,2,False,exponential,image,1
46,video,yolo,yolov5l,5,8,4Gi,64,1,30,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,2,False,exponential,image,1
47,video,yolo,yolov5l,5,8,4Gi,64,1,40,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,2,False,exponential,image,1
48,video,yolo,yolov5l,5,8,4Gi,64,1,80,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,2,False,exponential,image,1
49,video,yolo,yolov5l,5,8,4Gi,64,1,160,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,2,False,exponential,image,1
50,video,yolo,yolov5l,5,16,4Gi,1,1,1,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
51,video,yolo,yolov5l,5,16,4Gi,1,1,5,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
52,video,yolo,yolov5l,5,16,4Gi,1,1,10,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
53,video,yolo,yolov5l,5,16,4Gi,1,1,30,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
54,video,yolo,yolov5l,5,16,4Gi,1,1,40,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
55,video,yolo,yolov5l,5,16,4Gi,1,1,80,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
56,video,yolo,yolov5l,5,16,4Gi,1,1,160,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
57,video,yolo,yolov5l,5,16,4Gi,2,1,1,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
58,video,yolo,yolov5l,5,16,4Gi,2,1,5,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
59,video,yolo,yolov5l,5,16,4Gi,2,1,10,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
60,video,yolo,yolov5l,5,16,4Gi,2,1,30,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
61,video,yolo,yolov5l,5,16,4Gi,2,1,40,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
62,video,yolo,yolov5l,5,16,4Gi,2,1,80,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
63,video,yolo,yolov5l,5,16,4Gi,2,1,160,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
64,video,yolo,yolov5l,5,16,4Gi,4,1,1,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
