experiment_id,pipeline_name,node_name,model_variant,cpu_request,memory_request,max_batch_size,max_batch_time,load,load_duration,series,series_meta,replicas,no_engine,mode,data_type,benchmark_duration
1,audio-sent,nlp-sent,huggingface-distilbert-base-uncased-finetuned-mnli,1,10Gi,1,1,1,60,88,"checking the effect of changing all variables,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,text,1
2,audio-sent,nlp-sent,huggingface-distilbert-base-uncased-finetuned-mnli,1,10Gi,1,1,10,60,88,"checking the effect of changing all variables,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,text,1
3,audio-sent,nlp-sent,huggingface-distilbert-base-uncased-finetuned-mnli,1,10Gi,1,1,20,60,88,"checking the effect of changing all variables,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,text,1
4,audio-sent,nlp-sent,huggingface-distilbert-base-uncased-finetuned-mnli,2,10Gi,1,1,1,60,88,"checking the effect of changing all variables,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,text,1
5,audio-sent,nlp-sent,huggingface-distilbert-base-uncased-finetuned-mnli,2,10Gi,1,1,10,60,88,"checking the effect of changing all variables,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,text,1
6,audio-sent,nlp-sent,huggingface-distilbert-base-uncased-finetuned-mnli,2,10Gi,1,1,20,60,88,"checking the effect of changing all variables,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,text,1
7,audio-sent,nlp-sent,huggingface-distilbert-base-uncased-finetuned-mnli,4,10Gi,1,1,1,60,88,"checking the effect of changing all variables,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,text,1
8,audio-sent,nlp-sent,huggingface-distilbert-base-uncased-finetuned-mnli,4,10Gi,1,1,10,60,88,"checking the effect of changing all variables,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,text,1
9,audio-sent,nlp-sent,huggingface-distilbert-base-uncased-finetuned-mnli,4,10Gi,1,1,20,60,88,"checking the effect of changing all variables,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,text,1
10,audio-sent,nlp-sent,huggingface-distilbert-base-uncased-finetuned-mnli,8,10Gi,1,1,1,60,88,"checking the effect of changing all variables,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,text,1
11,audio-sent,nlp-sent,huggingface-distilbert-base-uncased-finetuned-mnli,8,10Gi,1,1,10,60,88,"checking the effect of changing all variables,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,text,1
