experiment_id,pipeline_name,node_name,model_variant,cpu_request,memory_request,max_batch_size,max_batch_time,load,load_duration,series,series_meta,replicas,no_engine,mode,data_type,benchmark_duration
1,audio-sent,audio,facebook-s2t-small-librispeech-asr,1,10Gi,1,1,1,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
2,audio-sent,audio,facebook-s2t-small-librispeech-asr,1,10Gi,1,1,10,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
3,audio-sent,audio,facebook-s2t-small-librispeech-asr,1,10Gi,1,1,20,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
4,audio-sent,audio,facebook-s2t-small-librispeech-asr,2,10Gi,1,1,1,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
5,audio-sent,audio,facebook-s2t-small-librispeech-asr,2,10Gi,1,1,10,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
6,audio-sent,audio,facebook-s2t-small-librispeech-asr,2,10Gi,1,1,20,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
7,audio-sent,audio,facebook-s2t-small-librispeech-asr,4,10Gi,1,1,1,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
8,audio-sent,audio,facebook-s2t-small-librispeech-asr,4,10Gi,1,1,10,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
9,audio-sent,audio,facebook-s2t-small-librispeech-asr,4,10Gi,1,1,20,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
10,audio-sent,audio,facebook-s2t-small-librispeech-asr,8,10Gi,1,1,1,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
11,audio-sent,audio,facebook-s2t-small-librispeech-asr,8,10Gi,1,1,10,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
12,audio-sent,audio,facebook-s2t-small-librispeech-asr,8,10Gi,1,1,20,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
13,audio-sent,audio,facebook-s2t-small-librispeech-asr,1,10Gi,2,1,1,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
14,audio-sent,audio,facebook-s2t-small-librispeech-asr,1,10Gi,2,1,10,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
15,audio-sent,audio,facebook-s2t-small-librispeech-asr,1,10Gi,2,1,20,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
16,audio-sent,audio,facebook-s2t-small-librispeech-asr,2,10Gi,2,1,1,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
17,audio-sent,audio,facebook-s2t-small-librispeech-asr,2,10Gi,2,1,10,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
18,audio-sent,audio,facebook-s2t-small-librispeech-asr,2,10Gi,2,1,20,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
19,audio-sent,audio,facebook-s2t-small-librispeech-asr,4,10Gi,2,1,1,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
20,audio-sent,audio,facebook-s2t-small-librispeech-asr,4,10Gi,2,1,10,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
21,audio-sent,audio,facebook-s2t-small-librispeech-asr,4,10Gi,2,1,20,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
22,audio-sent,audio,facebook-s2t-small-librispeech-asr,8,10Gi,2,1,1,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
23,audio-sent,audio,facebook-s2t-small-librispeech-asr,8,10Gi,2,1,10,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
24,audio-sent,audio,facebook-s2t-small-librispeech-asr,8,10Gi,2,1,20,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
25,audio-sent,audio,facebook-s2t-small-librispeech-asr,1,10Gi,8,1,1,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
26,audio-sent,audio,facebook-s2t-small-librispeech-asr,1,10Gi,8,1,10,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
27,audio-sent,audio,facebook-s2t-small-librispeech-asr,1,10Gi,8,1,20,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
28,audio-sent,audio,facebook-s2t-small-librispeech-asr,2,10Gi,8,1,1,60,87,"checking effect of batch size,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,step,audio,1
