experiment_id,pipeline_name,node_name,model_variant,cpu_request,memory_request,max_batch_size,max_batch_time,load,load_duration,series,series_meta,replicas,no_engine,mode,data_type,benchmark_duration
1,video,resnet-human,resnet18,1,10Gi,1,1,1,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
2,video,resnet-human,resnet18,1,10Gi,1,1,5,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
3,video,resnet-human,resnet18,1,10Gi,1,1,10,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
4,video,resnet-human,resnet18,1,10Gi,1,1,20,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
5,video,resnet-human,resnet18,1,10Gi,1,1,40,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
6,video,resnet-human,resnet18,2,10Gi,1,1,1,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
7,video,resnet-human,resnet18,2,10Gi,1,1,5,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
8,video,resnet-human,resnet18,2,10Gi,1,1,10,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
9,video,resnet-human,resnet18,2,10Gi,1,1,20,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
10,video,resnet-human,resnet18,2,10Gi,1,1,40,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
11,video,resnet-human,resnet18,4,10Gi,1,1,1,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
12,video,resnet-human,resnet18,4,10Gi,1,1,5,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
13,video,resnet-human,resnet18,4,10Gi,1,1,10,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
14,video,resnet-human,resnet18,4,10Gi,1,1,20,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
15,video,resnet-human,resnet18,4,10Gi,1,1,40,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
16,video,resnet-human,resnet18,8,10Gi,1,1,1,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
17,video,resnet-human,resnet18,8,10Gi,1,1,5,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
18,video,resnet-human,resnet18,8,10Gi,1,1,10,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
19,video,resnet-human,resnet18,8,10Gi,1,1,20,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
20,video,resnet-human,resnet18,8,10Gi,1,1,40,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
21,video,resnet-human,resnet18,16,10Gi,1,1,1,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
22,video,resnet-human,resnet18,16,10Gi,1,1,5,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
23,video,resnet-human,resnet18,16,10Gi,1,1,10,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
24,video,resnet-human,resnet18,16,10Gi,1,1,20,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
25,video,resnet-human,resnet18,16,10Gi,1,1,40,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
26,video,resnet-human,resnet18,32,10Gi,1,1,1,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
27,video,resnet-human,resnet18,32,10Gi,1,1,5,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
28,video,resnet-human,resnet18,32,10Gi,1,1,10,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
29,video,resnet-human,resnet18,32,10Gi,1,1,20,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
30,video,resnet-human,resnet18,32,10Gi,1,1,40,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
31,video,resnet-human,resnet18,1,10Gi,2,1,1,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
32,video,resnet-human,resnet18,1,10Gi,2,1,5,60,94,"test for the queue 1,\n cpu type: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz",1,False,exponential,image,1
