experiment_id,pipeline_name,node_name,model_variant,cpu_request,memory_request,max_batch_size,max_batch_time,load,load_duration,series,series_meta,replicas,no_engine,mode,data_type,benchmark_duration
1,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,1,1,1,60,91,testing static trace,1,False,exponential,text,1
2,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,1,1,10,60,91,testing static trace,1,False,exponential,text,1
3,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,1,1,20,60,91,testing static trace,1,False,exponential,text,1
4,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,1,1,1,60,91,testing static trace,1,False,exponential,text,1
5,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,1,1,10,60,91,testing static trace,1,False,exponential,text,1
6,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,1,1,20,60,91,testing static trace,1,False,exponential,text,1
7,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,1,1,1,60,91,testing static trace,1,False,exponential,text,1
8,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,1,1,10,60,91,testing static trace,1,False,exponential,text,1
9,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,1,1,20,60,91,testing static trace,1,False,exponential,text,1
10,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,1,1,1,60,91,testing static trace,1,False,exponential,text,1
11,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,1,1,10,60,91,testing static trace,1,False,exponential,text,1
12,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,1,1,20,60,91,testing static trace,1,False,exponential,text,1
13,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,1,1,1,60,91,testing static trace,1,False,exponential,text,1
14,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,1,1,10,60,91,testing static trace,1,False,exponential,text,1
15,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,1,1,20,60,91,testing static trace,1,False,exponential,text,1
16,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,32,10Gi,1,1,1,60,91,testing static trace,1,False,exponential,text,1
17,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,32,10Gi,1,1,10,60,91,testing static trace,1,False,exponential,text,1
18,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,32,10Gi,1,1,20,60,91,testing static trace,1,False,exponential,text,1
19,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,2,1,1,60,91,testing static trace,1,False,exponential,text,1
20,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,2,1,10,60,91,testing static trace,1,False,exponential,text,1
21,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,2,1,20,60,91,testing static trace,1,False,exponential,text,1
22,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,2,1,1,60,91,testing static trace,1,False,exponential,text,1
23,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,2,1,10,60,91,testing static trace,1,False,exponential,text,1
24,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,2,1,20,60,91,testing static trace,1,False,exponential,text,1
25,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,2,1,1,60,91,testing static trace,1,False,exponential,text,1
26,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,2,1,10,60,91,testing static trace,1,False,exponential,text,1
27,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,2,1,20,60,91,testing static trace,1,False,exponential,text,1
28,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,2,1,1,60,91,testing static trace,1,False,exponential,text,1
29,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,2,1,10,60,91,testing static trace,1,False,exponential,text,1
30,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,2,1,20,60,91,testing static trace,1,False,exponential,text,1
31,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,2,1,1,60,91,testing static trace,1,False,exponential,text,1
32,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,2,1,10,60,91,testing static trace,1,False,exponential,text,1
33,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,2,1,20,60,91,testing static trace,1,False,exponential,text,1
34,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,32,10Gi,2,1,1,60,91,testing static trace,1,False,exponential,text,1
35,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,32,10Gi,2,1,10,60,91,testing static trace,1,False,exponential,text,1
36,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,32,10Gi,2,1,20,60,91,testing static trace,1,False,exponential,text,1
37,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,4,1,1,60,91,testing static trace,1,False,exponential,text,1
38,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,4,1,10,60,91,testing static trace,1,False,exponential,text,1
39,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,4,1,20,60,91,testing static trace,1,False,exponential,text,1
40,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,4,1,1,60,91,testing static trace,1,False,exponential,text,1
41,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,4,1,10,60,91,testing static trace,1,False,exponential,text,1
42,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,4,1,20,60,91,testing static trace,1,False,exponential,text,1
43,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,4,1,1,60,91,testing static trace,1,False,exponential,text,1
44,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,4,1,10,60,91,testing static trace,1,False,exponential,text,1
45,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,4,1,20,60,91,testing static trace,1,False,exponential,text,1
46,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,4,1,1,60,91,testing static trace,1,False,exponential,text,1
47,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,4,1,10,60,91,testing static trace,1,False,exponential,text,1
48,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,4,1,20,60,91,testing static trace,1,False,exponential,text,1
49,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,4,1,1,60,91,testing static trace,1,False,exponential,text,1
50,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,4,1,10,60,91,testing static trace,1,False,exponential,text,1
51,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,4,1,20,60,91,testing static trace,1,False,exponential,text,1
52,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,32,10Gi,4,1,1,60,91,testing static trace,1,False,exponential,text,1
53,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,32,10Gi,4,1,10,60,91,testing static trace,1,False,exponential,text,1
54,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,32,10Gi,4,1,20,60,91,testing static trace,1,False,exponential,text,1
55,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,8,1,1,60,91,testing static trace,1,False,exponential,text,1
56,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,8,1,10,60,91,testing static trace,1,False,exponential,text,1
57,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,8,1,20,60,91,testing static trace,1,False,exponential,text,1
58,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,8,1,1,60,91,testing static trace,1,False,exponential,text,1
59,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,8,1,10,60,91,testing static trace,1,False,exponential,text,1
60,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,8,1,20,60,91,testing static trace,1,False,exponential,text,1
61,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,8,1,1,60,91,testing static trace,1,False,exponential,text,1
62,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,8,1,10,60,91,testing static trace,1,False,exponential,text,1
63,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,8,1,20,60,91,testing static trace,1,False,exponential,text,1
64,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,8,1,1,60,91,testing static trace,1,False,exponential,text,1
65,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,8,1,10,60,91,testing static trace,1,False,exponential,text,1
66,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,8,1,20,60,91,testing static trace,1,False,exponential,text,1
67,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,8,1,1,60,91,testing static trace,1,False,exponential,text,1
68,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,8,1,10,60,91,testing static trace,1,False,exponential,text,1
69,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,8,1,20,60,91,testing static trace,1,False,exponential,text,1
70,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,32,10Gi,8,1,1,60,91,testing static trace,1,False,exponential,text,1
71,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,32,10Gi,8,1,10,60,91,testing static trace,1,False,exponential,text,1
72,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,32,10Gi,8,1,20,60,91,testing static trace,1,False,exponential,text,1
73,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,16,1,1,60,91,testing static trace,1,False,exponential,text,1
74,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,16,1,10,60,91,testing static trace,1,False,exponential,text,1
75,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,16,1,20,60,91,testing static trace,1,False,exponential,text,1
76,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,16,1,1,60,91,testing static trace,1,False,exponential,text,1
77,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,16,1,10,60,91,testing static trace,1,False,exponential,text,1
78,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,16,1,20,60,91,testing static trace,1,False,exponential,text,1
79,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,16,1,1,60,91,testing static trace,1,False,exponential,text,1
80,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,16,1,10,60,91,testing static trace,1,False,exponential,text,1
81,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,16,1,20,60,91,testing static trace,1,False,exponential,text,1
82,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,16,1,1,60,91,testing static trace,1,False,exponential,text,1
83,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,16,1,10,60,91,testing static trace,1,False,exponential,text,1
84,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,16,1,20,60,91,testing static trace,1,False,exponential,text,1
85,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,16,1,1,60,91,testing static trace,1,False,exponential,text,1
86,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,16,1,10,60,91,testing static trace,1,False,exponential,text,1
87,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,16,1,20,60,91,testing static trace,1,False,exponential,text,1
88,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,32,10Gi,16,1,1,60,91,testing static trace,1,False,exponential,text,1
89,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,32,10Gi,16,1,10,60,91,testing static trace,1,False,exponential,text,1
90,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,32,10Gi,16,1,20,60,91,testing static trace,1,False,exponential,text,1
91,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,32,1,1,60,91,testing static trace,1,False,exponential,text,1
92,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,32,1,10,60,91,testing static trace,1,False,exponential,text,1
93,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,32,1,20,60,91,testing static trace,1,False,exponential,text,1
94,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,32,1,1,60,91,testing static trace,1,False,exponential,text,1
95,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,32,1,10,60,91,testing static trace,1,False,exponential,text,1
96,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,32,1,20,60,91,testing static trace,1,False,exponential,text,1
97,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,32,1,1,60,91,testing static trace,1,False,exponential,text,1
98,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,32,1,10,60,91,testing static trace,1,False,exponential,text,1
99,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,32,1,20,60,91,testing static trace,1,False,exponential,text,1
100,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,32,1,1,60,91,testing static trace,1,False,exponential,text,1
101,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,32,1,10,60,91,testing static trace,1,False,exponential,text,1
102,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,32,1,20,60,91,testing static trace,1,False,exponential,text,1
103,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,32,1,1,60,91,testing static trace,1,False,exponential,text,1
104,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,32,1,10,60,91,testing static trace,1,False,exponential,text,1
105,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,32,1,20,60,91,testing static trace,1,False,exponential,text,1
106,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,32,10Gi,32,1,1,60,91,testing static trace,1,False,exponential,text,1
107,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,32,10Gi,32,1,10,60,91,testing static trace,1,False,exponential,text,1
108,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,32,10Gi,32,1,20,60,91,testing static trace,1,False,exponential,text,1
109,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,64,1,1,60,91,testing static trace,1,False,exponential,text,1
110,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,64,1,10,60,91,testing static trace,1,False,exponential,text,1
111,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,1,10Gi,64,1,20,60,91,testing static trace,1,False,exponential,text,1
112,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,64,1,1,60,91,testing static trace,1,False,exponential,text,1
113,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,64,1,10,60,91,testing static trace,1,False,exponential,text,1
114,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,64,1,20,60,91,testing static trace,1,False,exponential,text,1
115,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,64,1,1,60,91,testing static trace,1,False,exponential,text,1
116,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,64,1,10,60,91,testing static trace,1,False,exponential,text,1
117,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,64,1,20,60,91,testing static trace,1,False,exponential,text,1
118,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,64,1,1,60,91,testing static trace,1,False,exponential,text,1
119,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,64,1,10,60,91,testing static trace,1,False,exponential,text,1
120,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,64,1,20,60,91,testing static trace,1,False,exponential,text,1
121,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,64,1,1,60,91,testing static trace,1,False,exponential,text,1
122,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,64,1,10,60,91,testing static trace,1,False,exponential,text,1
123,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,64,1,20,60,91,testing static trace,1,False,exponential,text,1
124,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,32,10Gi,64,1,1,60,91,testing static trace,1,False,exponential,text,1
125,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,32,10Gi,64,1,10,60,91,testing static trace,1,False,exponential,text,1
